,player,win_count
362,"Gelfand,B",746
363,"Dreev,A",1066
364,Zhang Zhong,285
365,"Sargissian,G",222
366,"Kunte,A",25
367,"Shaked, Tal",391
368,"Nenashev, Alexander",100
369,Dao Thien Hai,305
370,"Villamayor,B",208
371,"Gelfand, Boris",652
372,"Volkov,S1",138
373,"Kobese, Watu",88
374,"Milos, Gilberto",473
375,"Milov,V",382
376,"Salov, Valery",167
377,"Kaidanov, Grigory S",179
378,"Sadvakasov,D",164
379,"Hoffman, Alejandro",64
380,"Arab,A",116
381,"Stefansson, Hannes",146
382,"Iordachescu,V",393
383,"Prudnikova,S",145
384,Ni Hua,357
385,"Kobalija,M",61
386,"Belkhodja,S",52
387,"Gulko,B",228
388,"Nogueiras,J",52
389,"Akesson, Ralf",139
390,"Bareev, Evgeny",184
391,"Azmaiparashvili, Zurab",291
392,"Gulko, Boris F",128
393,"Karjakin, Sergey",213
394,"Chernin,A",198
395,"Malaniuk, Vladimir P",168
396,"Anand,V",1574
397,"Vaganian,R",499
398,"Psakhis, Lev",146
399,"Slobodjan, Roman",105
400,"Nikolic,Pr",294
401,"Shirov, Alexei",545
402,"Marshall, Frank James",370
403,"Barsov,A",139
404,"Nijboer, Friso",293
405,"Adams, Michael",1137
406,"Smirin,I",320
407,"Timoshenko,G",66
408,"Godena,M",51
409,"Hjartarson, Johann",123
410,"Euwe, Max",1894
411,"Lputian,S",457
412,"Jobava,Ba",248
413,"Landa,K",79
414,"Gyimesi,Z",29
415,"Topalov, Veselin",380
416,"Morozevich, Alexander",143
