,game_id,player_name,move_sequence,move_count
20,0128c0c8-d901-4c87-9452-3981c597eb7c,"Karpov, Anatoly",c4|c5|Nf3|Nf6|Nc3|d5|cxd5|Nxd5|d4|Nxc3|bxc3|g6|e3|Bg7|Bd3|O-O|O-O|Qc7|Rb1|b6|Qe2|Rd8|Be4|Ba6|c4|Nc6|d5|f5|Bd3|e5|e4|Nd4|Nxd4|cxd4|Bg5|Rf8|Rfc1|Rac8|Bd2|Rf7|a4|fxe4|Qxe4|Rcf8|f3|Bc8|a5|Bf5|Qe2|Re8|Be4|Bf8|Qd3|Bc5|Ra1|Qd7|Re1|Qc8|Kh1|Rc7|Rab1|Kg7|Rec1|Bxe4|fxe4|Rf7|Qg3|bxa5|Bxa5|Rf4|Re1|Qa6|Bd2|Rf7|Qd3|Ref8|h3|Rf2|Ra1|Qf6|Rg1|h5|Ra5|Qe7|Rb1|h4|Ra6|R8f7|Rc6|Qf8|Rg1|Be7|Re6|Kh7|Be1|Rf1|Bd2|Bc5|Rc6|R7f3|gxf3|Rxf3|Rc7+|Kh8|Bh6|Rxd3|Bxf8|Rxh3+|Kg2|Rg3+|Kh2|Rxg1|Bxc5,57
21,0128c0c8-d901-4c87-9452-3981c597eb7c,"Kasparov, Gary",c4|c5|Nf3|Nf6|Nc3|d5|cxd5|Nxd5|d4|Nxc3|bxc3|g6|e3|Bg7|Bd3|O-O|O-O|Qc7|Rb1|b6|Qe2|Rd8|Be4|Ba6|c4|Nc6|d5|f5|Bd3|e5|e4|Nd4|Nxd4|cxd4|Bg5|Rf8|Rfc1|Rac8|Bd2|Rf7|a4|fxe4|Qxe4|Rcf8|f3|Bc8|a5|Bf5|Qe2|Re8|Be4|Bf8|Qd3|Bc5|Ra1|Qd7|Re1|Qc8|Kh1|Rc7|Rab1|Kg7|Rec1|Bxe4|fxe4|Rf7|Qg3|bxa5|Bxa5|Rf4|Re1|Qa6|Bd2|Rf7|Qd3|Ref8|h3|Rf2|Ra1|Qf6|Rg1|h5|Ra5|Qe7|Rb1|h4|Ra6|R8f7|Rc6|Qf8|Rg1|Be7|Re6|Kh7|Be1|Rf1|Bd2|Bc5|Rc6|R7f3|gxf3|Rxf3|Rc7+|Kh8|Bh6|Rxd3|Bxf8|Rxh3+|Kg2|Rg3+|Kh2|Rxg1|Bxc5|d3,57
22,01af512b-f6cd-471a-bc9d-4d52df30ecce,"Alekhine, Alexander",d4|Nf6|c4|e6|Nc3|Bb4|Qb3|Qe7|a3|Bxc3+|Qxc3|b6|f3|d5|cxd5|Nxd5|Qc2|Qh4+|g3|Qxd4|e4|Ne7|Bf4|Bd7|Rd1|Qa4|Qxc7|Qc6|Ne2|Qxc7|Bxc7|Na6|Bd6|Bb5|Nc3|Bxf1|Rxf1|Nc8|Bf4|Ke7|Rf2|Rd8|Rxd8|Kxd8|Rd2+|Ke8|Nb5|f6|b4|Ne7|Kd1|Ng6|Bc7|e5|Kc2|Nf8|Bd6|Ne6|f4|exf4|gxf4|Rc8+|Kb3|Ra8|h4|Kf7|f5|Nd8|Bf4|Ke7|Rg2|g6|Rc2|gxf5|exf5|Nf7|Re2+|Kd7|Re6|Rg8|Rxf6|Ke7|Re6+|Kd7|Bd6|Nxd6|Rxd6+|Ke8|Nxa7|Rg3+|Ka4|Rg7|Nc6|Nc7,47
23,01af512b-f6cd-471a-bc9d-4d52df30ecce,"Bogoljubow, Efim",d4|Nf6|c4|e6|Nc3|Bb4|Qb3|Qe7|a3|Bxc3+|Qxc3|b6|f3|d5|cxd5|Nxd5|Qc2|Qh4+|g3|Qxd4|e4|Ne7|Bf4|Bd7|Rd1|Qa4|Qxc7|Qc6|Ne2|Qxc7|Bxc7|Na6|Bd6|Bb5|Nc3|Bxf1|Rxf1|Nc8|Bf4|Ke7|Rf2|Rd8|Rxd8|Kxd8|Rd2+|Ke8|Nb5|f6|b4|Ne7|Kd1|Ng6|Bc7|e5|Kc2|Nf8|Bd6|Ne6|f4|exf4|gxf4|Rc8+|Kb3|Ra8|h4|Kf7|f5|Nd8|Bf4|Ke7|Rg2|g6|Rc2|gxf5|exf5|Nf7|Re2+|Kd7|Re6|Rg8|Rxf6|Ke7|Re6+|Kd7|Bd6|Nxd6|Rxd6+|Ke8|Nxa7|Rg3+|Ka4|Rg7|Nc6|Nc7|f6,48
24,01b07d18-1151-4549-824c-973aa22ad62d,"Almasi,Z",d4|d5|c4|c6|Nf3|Nf6|Nc3|e6|cxd5|exd5|Bg5|h6|Bh4|Bf5|Qb3|g5|Bg3|Qb6|Nd2|Nbd7|e3|Nh5|Be2|Nxg3|hxg3|Bg7|Rc1|O-O|Na4|Qa5|Nc5|Nxc5|Rxc5|Qb6|g4|Qxb3|Nxb3|Bd7|Rc2|b6,20
25,01b07d18-1151-4549-824c-973aa22ad62d,"Vladimirov,E",d4|d5|c4|c6|Nf3|Nf6|Nc3|e6|cxd5|exd5|Bg5|h6|Bh4|Bf5|Qb3|g5|Bg3|Qb6|Nd2|Nbd7|e3|Nh5|Be2|Nxg3|hxg3|Bg7|Rc1|O-O|Na4|Qa5|Nc5|Nxc5|Rxc5|Qb6|g4|Qxb3|Nxb3|Bd7|Rc2,20
26,01be7b78-84e0-4f2a-9969-fa637f5ce12e,"Anastasian,A",e4|c6|d4|d5|Nc3|dxe4|Nxe4|Bf5|Ng3|Bg6|h4|h6|Nf3|Nd7|h5|Bh7|Bd3|Bxd3|Qxd3|e6|Bf4|Bb4+|c3|Be7|O-O-O|Ngf6|Kb1|O-O|Ne5|Qa5|Ne4|Rad8|Nxf6+|Bxf6|Nc4|Qb5|Bd6|Rfe8|Bc7|Ra8|g4|Be7|Rhe1|Rac8|Bd6|Nb6|Nxb6|Qxd3+|Rxd3|axb6|Bxe7|Rxe7|Kc2|b5|d5|cxd5|Rxd5|b4|Rd3|Rec7|Ree3|Rc4|f3|f5|gxf5|exf5|Re5|Rf4|Rb5|Rc7|Kb3|bxc3|bxc3|g6|hxg6|Kg7|Rb4|Rxb4+|cxb4|h5|f4|Kxg6|Rh3|Rc1|a4|Rg1|a5|Rg4|Kc4|h4|Kc5|Rxf4|Ra3|Re4|b5|Kg5|Kb6|Re7|a6|bxa6|bxa6|Re6+|Kb7|Rxa6|Rxa6|h3|Ra8|f4|Rg8+|Kf5|Rh8|Kg4,56
27,01be7b78-84e0-4f2a-9969-fa637f5ce12e,"Leko,P",e4|c6|d4|d5|Nc3|dxe4|Nxe4|Bf5|Ng3|Bg6|h4|h6|Nf3|Nd7|h5|Bh7|Bd3|Bxd3|Qxd3|e6|Bf4|Bb4+|c3|Be7|O-O-O|Ngf6|Kb1|O-O|Ne5|Qa5|Ne4|Rad8|Nxf6+|Bxf6|Nc4|Qb5|Bd6|Rfe8|Bc7|Ra8|g4|Be7|Rhe1|Rac8|Bd6|Nb6|Nxb6|Qxd3+|Rxd3|axb6|Bxe7|Rxe7|Kc2|b5|d5|cxd5|Rxd5|b4|Rd3|Rec7|Ree3|Rc4|f3|f5|gxf5|exf5|Re5|Rf4|Rb5|Rc7|Kb3|bxc3|bxc3|g6|hxg6|Kg7|Rb4|Rxb4+|cxb4|h5|f4|Kxg6|Rh3|Rc1|a4|Rg1|a5|Rg4|Kc4|h4|Kc5|Rxf4|Ra3|Re4|b5|Kg5|Kb6|Re7|a6|bxa6|bxa6|Re6+|Kb7|Rxa6|Rxa6|h3|Ra8|f4|Rg8+|Kf5|Rh8|Kg4|Rg8+,57
28,01c1b015-2cbe-42c8-a30f-4334b1ed6f02,"Dreev,A",c4|c6|Nf3|d5|d4|Nf6|Nc3|e6|Bg5|h6|Bh4|dxc4|e4|g5|Bg3|b5|Be2|Bb7|Qc2|Nbd7|Ne5|Bg7|Rd1|Qb6|O-O|Rd8|Kh1|c5|Bxc4|a6|Nxd7|Rxd7|e5|Nh5,17
29,01c1b015-2cbe-42c8-a30f-4334b1ed6f02,"Pigusov,E",c4|c6|Nf3|d5|d4|Nf6|Nc3|e6|Bg5|h6|Bh4|dxc4|e4|g5|Bg3|b5|Be2|Bb7|Qc2|Nbd7|Ne5|Bg7|Rd1|Qb6|O-O|Rd8|Kh1|c5|Bxc4|a6|Nxd7|Rxd7|e5|Nh5|Be2,18
30,01d7c507-bc7e-4638-b763-d28a7f8558ac,"Kasimdzhanov,R",e4|c5|Nf3|e6|d4|cxd4|Nxd4|Nc6|Nc3|d6|Be2|Nf6|Be3|Be7|O-O|O-O|Kh1|Nxd4|Bxd4|e5|Be3|Be6|f4|exf4|Rxf4|a6|a4|Qa5|Qd2|Rfc8|Rd1|Bd8|Rff1|Bb6|Bd4|Bxd4|Qxd4|Rc6|Nd5|Bxd5|exd5|Rcc8|Rxf6|gxf6|Bd3|Re8|Qh4|Kf8|Rf1|Qxd5|Qh6+|Ke7|Qxf6+|Kd7|h3|h5|b4|Re3|Rf5|Re5|Rxe5|dxe5|Qf5+|Qe6|Qxh5|e4|Be2|Rf8|b5|f5|bxa6|bxa6|Qh7+|Qf7|Qh6|Qf6|Qh7+|Rf7|Qg8|Ke7|Bc4|Rf8|Qh7+|Kd6|Qb7|Qa1+|Kh2|Qe5+|Kh1|a5|Qb6+|Ke7|Qb7+|Kf6|Qb6+|Kg7|Qb7+|Kh6|Qb6+|Rf6|Qd8|Rd6|Qf8+|Kg5|Be2,53
31,01d7c507-bc7e-4638-b763-d28a7f8558ac,"Morozevich,A",e4|c5|Nf3|e6|d4|cxd4|Nxd4|Nc6|Nc3|d6|Be2|Nf6|Be3|Be7|O-O|O-O|Kh1|Nxd4|Bxd4|e5|Be3|Be6|f4|exf4|Rxf4|a6|a4|Qa5|Qd2|Rfc8|Rd1|Bd8|Rff1|Bb6|Bd4|Bxd4|Qxd4|Rc6|Nd5|Bxd5|exd5|Rcc8|Rxf6|gxf6|Bd3|Re8|Qh4|Kf8|Rf1|Qxd5|Qh6+|Ke7|Qxf6+|Kd7|h3|h5|b4|Re3|Rf5|Re5|Rxe5|dxe5|Qf5+|Qe6|Qxh5|e4|Be2|Rf8|b5|f5|bxa6|bxa6|Qh7+|Qf7|Qh6|Qf6|Qh7+|Rf7|Qg8|Ke7|Bc4|Rf8|Qh7+|Kd6|Qb7|Qa1+|Kh2|Qe5+|Kh1|a5|Qb6+|Ke7|Qb7+|Kf6|Qb6+|Kg7|Qb7+|Kh6|Qb6+|Rf6|Qd8|Rd6|Qf8+|Kg5|Be2|Kf4,53
32,01db283e-d9c7-4f13-9cdc-2e25aae713d9,"Gelfand,B",d4|d5|c4|c6|Nf3|Nf6|Nc3|e6|Bg5|h6|Bh4|dxc4|e4|g5|Bg3|b5|Be2|Bb7|O-O|Nbd7|Ne5|h5|Nxd7|Qxd7|Qc1|Rg8|Rd1|Bb4|Qe3|Qe7|h3|h4|Bh2|Bxc3|bxc3|g4|Kh1|c5|hxg4|cxd4|Rxd4|e5|Rdd1|Nxg4|Bxg4|Rxg4|f3|Rg6|a4|a5|axb5|a4|Qe2|Qc5|Rab1|Rd6|Rxd6|Qxd6|Qxc4|a3|Ra1|h3|Qe2|hxg2+|Qxg2|O-O-O|Qa2|f5|Qxa3|fxe4|Qxd6|Rxd6|fxe4|Bxe4+|Kg1|Bd3|Bxe5|Rg6+|Kf2|Bxb5,40
