,game_id,event,player_name
86,ac80d204-06ee-4be4-9252-c135246873b2,World Championship 17th,"Euwe, Max"
87,047cc450-adc2-4045-b32c-e7dba05521d8,World Championship 2nd,"Chigorin, Mikhail"
88,eb814a74-be9a-4fac-ae83-80da7f0cac2e,FIDE WCh KO,"Milos,G"
89,a166e9fc-656a-4a14-a4e7-f0f52e96487c,FIDE WCh KO,"Shirov,A"
90,78209830-1a15-4d59-a19c-6c43eeccad35,FIDE WCh KO,"Van Wely,L"
91,55a8a63c-e2db-4b45-8a29-c1ad2b4f06f9,FIDE-Wch k.o.,"Barua, Dibyendu"
92,6cf7ab7d-7dd1-4441-b8d0-6992121429ae,FIDE-Wch,"Timman, Jan H"
93,32171e06-cf7b-48b2-b7a7-6008d0966104,World Championship 26th,"Petrosian, Tigran V"
94,aeb0c37c-6a46-4424-99f0-b51253c70125,World Championship 14th,"Alekhine, Alexander"
95,860a9c7d-5f67-4274-badd-d9c97743a5f6,FIDE WCh KO,"Dominguez,L"
96,d52c8e0f-1040-4c9d-a288-fecbe7aa41db,FIDE-Wch k.o.,"Salov, Valery"
97,2ac47204-e27e-40c8-8a29-d6f5121748a4,FIDE-Wch k.o.,"Adams, Michael"
98,042f3677-18cb-48d2-b3b7-b8b932c28c1a,FIDE-Wch k.o.,"Seirawan, Yasser"
99,c4dffbe5-8745-41b4-9532-361d20c8b5e9,World Championship 16th,"Alekhine, Alexander"
100,c015d41a-0ca9-4dba-b085-70d880e9df70,World Championship 6th,"Lasker, Emanuel"
101,5b0c1682-5042-4ab0-8d36-4cad750ccc9b,World Championship 5th,"Lasker, Emanuel"
102,dea461a0-46b1-43e8-b9c0-321acba393e1,WCh 2016,"Carlsen, Magnus"
103,8af232de-ed13-48e9-bdd3-ebbceac8ee71,FIDE WCh KO,"Almasi,Z"
104,28c8eaff-cc9b-4bf4-97cb-d1fb3efdf453,FIDE WCh KO,"Akopian,Vl"
105,d3d9c0b5-c63c-4a6d-9acd-bdf20a412202,FIDE WCh KO,"Radjabov,T"
106,c56afd2d-53f6-44ff-a7d0-c28869e89685,FIDE WCh KO,"Barsov,A"
